id;date;day;lake;group;dN;dC_cor;CN;tot.cells;Eubacteria;Alfaproteobacteria;Betaprteobacteria;Gammaproteobacteria;Deltaproteobacteria;Other;Temperature;NO3;PO4;NH4
65;15.07.2019;196;T2;diaphanosoma;;-25,99677258;5,714381677;33704386,20;16668399,60;1627407,90;1918135,80;4163758,20;5453654,40;3873030,30;19,6;0,2546;0,1082;0,0457
66;15.07.2019;196;P2;calanoida;12,7947747;-31,33676887;5,14617631;26566515,00;14837148,00;2071854,00;2974113,00;1303263,00;4344210,00;1035927,00;18,1;6,1251;0,0165;0,0249
68;15.07.2019;196;T1;daphnia;12,01;-34,94589698;5,63;18205581,60;7986663,00;534672,00;2005020,00;2289064,50;1951552,80;3438609,30;20,2;0,194;0,00;0,0337
69;15.07.2019;196;T2;daphnia;;-25,71517799;6,321291718;33704386,20;16668399,60;1627407,90;1918135,80;4163758,20;5453654,40;3873030,30;19,6;0,2546;0,1082;0,0457
70;15.07.2019;196;T2;calanoida;12,04516066;-26,73442666;5,082293907;33704386,20;16668399,60;1627407,90;1918135,80;4163758,20;5453654,40;3873030,30;19,6;0,2546;0,1082;0,0457
71;15.07.2019;196;W1;calanoida;16,43944644;-37,08802799;4,880192928;33490517,40;18907338,60;1102761,00;4243959,00;267336,00;2706777,00;6262345,80;16,4;1,2237;0,0278;0,6655
72;29.07.2019;210;P2;daphnia;;-27,40679137;6,138749138;85788122,40;59849847,00;601506,00;3241449,00;668340,00;735174,00;20691806,40;24,1;4,9363;0,0042;0,0223
73;29.07.2019;210;T2;calanoida;13,6667754;-25,59192154;4,734656046;24962499,00;10459521,00;1236429,00;1771101,00;538013,70;1226403,90;9731030,40;24,8;0,0217;0,0184;0,0365
74;29.07.2019;210;W1;calanoida;17,77542755;-34,07481785;4,864099468;68377865,40;31107885,30;2105271,00;5446971,00;1102761,00;1804518,00;26810459,10;17,5;0,0539;0,4385;0,9682
75;29.07.2019;210;P2;leptodora;;-28,55950307;6,273747879;85788122,40;59849847,00;601506,00;3241449,00;668340,00;735174,00;20691806,40;24,1;4,9363;0,0042;0,0223
76;29.07.2019;210;W1;cyclopoida;;-32,36945209;6,502405974;68377865,40;31107885,30;2105271,00;5446971,00;1102761,00;1804518,00;26810459,10;17,5;0,0539;0,4385;0,9682
77;29.07.2019;210;T2;leptodora;;-25,86366987;4,88132327;24962499,00;10459521,00;1236429,00;1771101,00;538013,70;1226403,90;9731030,40;24,8;0,0217;0,0184;0,0365
78;29.07.2019;210;T1;calanoida;13,48894613;-34,18155262;5,085240291;22964162,40;12952429,20;367587,00;1269846,00;2242280,70;1072685,70;5059333,80;23,3;0,0034;0,0033;0,0276
79;29.07.2019;210;T2;cyclopoida;12,78180239;-25,76434702;4,895362276;24962499,00;10459521,00;1236429,00;1771101,00;538013,70;1226403,90;9731030,40;24,8;0,0217;0,0184;0,0365
81;29.07.2019;210;T1;cyclopoida;;-34,40411335;5,317650783;22964162,40;12952429,20;367587,00;1269846,00;2242280,70;1072685,70;5059333,80;23,3;0,0034;0,0033;0,0276
82;29.07.2019;210;T2;diaphanosoma;12,56463274;-25,21954936;5,147122344;24962499,00;10459521,00;1236429,00;1771101,00;538013,70;1226403,90;9731030,40;24,8;0,0217;0,0184;0,0365
83;29.07.2019;210;T2;daphnia;;-24,36882911;6,33650165;24962499,00;10459521,00;1236429,00;1771101,00;538013,70;1226403,90;9731030,40;24,8;0,0217;0,0184;0,0365
84;29.07.2019;210;P2;cyclopoida;;-27,88288215;5,766852469;85788122,40;59849847,00;601506,00;3241449,00;668340,00;735174,00;20691806,40;24,1;4,9363;0,0042;0,0223
85;29.07.2019;210;P2;calanoida;;-29,71412433;6,430727858;85788122,40;59849847,00;601506,00;3241449,00;668340,00;735174,00;20691806,40;24,1;4,9363;0,0042;0,0223
86;12.08.2019;224;P1;cyclopoida;;-24,00876634;5,809707826;18392716,80;11462031,00;1002510,00;2005020,00;935676,00;2606526,00;380953,80;21,8;9,4258;0,01;0,0356
87;12.08.2019;224;P2;calanoida;17,01;-30,22429338;5,59;23231498,40;12230622,00;2005020,00;3475368,00;1871352,00;701757,00;2947379,40;25,6;0,4438;0,0031;0,0212
88;12.08.2019;224;T1;calanoida;17;-31,86672897;5,35;21366829,80;13333383,00;1503765,00;2673360,00;1871352,00;1336680,00;648289,80;24,9;0,221;0,1023;0,0746
89;12.08.2019;224;P2;cyclopoida;12,38251359;-29,86056946;5,477485741;23231498,40;12230622,00;2005020,00;3475368,00;1871352,00;701757,00;2947379,40;25,6;0,4438;0,0031;0,0212
90;12.08.2019;224;T2;diaphanosoma;12,51189919;-23,89076382;4,918444297;25443703,80;15749432,10;1737684,00;2238939,00;3040947,00;2121979,50;554722,20;24,8;0,1523;0,0859;0,0479
92;12.08.2019;224;T1;cyclopoida;;-31,7413204;5,773377712;21366829,80;13333383,00;1503765,00;2673360,00;1871352,00;1336680,00;648289,80;24,9;0,221;0,1023;0,0746
94;12.08.2019;224;P2;daphnia;14,09302364;-29,15913546;5,977768025;23231498,40;12230622,00;2005020,00;3475368,00;1871352,00;701757,00;2947379,40;25,6;0,4438;0,0031;0,0212
95;12.08.2019;224;T2;calanoida;14,69553921;-24,81711887;4,610203418;25443703,80;15749432,10;1737684,00;2238939,00;3040947,00;2121979,50;554722,20;24,8;0,1523;0,0859;0,0479
98;12.08.2019;224;T2;cyclopoida;13,71133718;-24,68828711;4,807148626;25443703,80;15749432,10;1737684,00;2238939,00;3040947,00;2121979,50;554722,20;24,8;0,1523;0,0859;0,0479
101;26.08.2019;238;W1;calanoida;12,95576788;-32,0537441;4,869670967;43826395,50;19261558,80;2038437,00;2573109,00;868842,00;1470348,00;17614100,70;18,3;0,3384;0,1992;0,815
102;26.08.2019;238;P1;cyclopoida;;-23,6866665;6,560769722;30529771,20;18345933,00;2238939,00;2740194,00;3508785,00;3208032,00;487888,20;20,5;11,8191;0,1273;0,003
103;26.08.2019;238;P1;daphnia;;-28,06501234;5,478205352;30529771,20;18345933,00;2238939,00;2740194,00;3508785,00;3208032,00;487888,20;20,5;11,8191;0,1273;0,003
104;26.08.2019;238;T2;diaphanosoma;10,89028164;-23,95425583;5,153852461;29483819,10;18726886,80;1570599,00;2940696,00;3040947,00;2807028,00;397662,30;23,1;0,1099;0,0681;0,0011
105;26.08.2019;238;W1;cyclopoida;;-28,10997057;6,190385168;43826395,50;19261558,80;2038437,00;2573109,00;868842,00;1470348,00;17614100,70;18,3;0,3384;0,1992;0,815
106;26.08.2019;238;T1;calanoida;11,92;-32,595;4,56;21761150,40;13951597,50;2406024,00;1203012,00;1503765,00;2272356,00;424395,90;23,1;0,1965;0,00;0,0477
107;26.08.2019;238;T1;cyclopoida;12,36853398;-31,42352949;5,216393434;21761150,40;13951597,50;2406024,00;1203012,00;1503765,00;2272356,00;424395,90;23,1;0,1965;0,00;0,0477
108;26.08.2019;238;P2;leptodora;16,11;-28,18735632;5,22;29567361,60;15505488,00;3007530,00;3274866,00;3141198,00;3208032,00;1430247,60;24,1;0,1895;0,0015;0,0002
109;26.08.2019;238;P2;daphnia;17,93;-27,51330882;5,44;29567361,60;15505488,00;3007530,00;3274866,00;3141198,00;3208032,00;1430247,60;24,1;0,1895;0,0015;0,0002
110;26.08.2019;238;P2;calanoida;15,55;-29,15663866;4,76;29567361,60;15505488,00;3007530,00;3274866,00;3141198,00;3208032,00;1430247,60;24,1;0,1895;0,0015;0,0002
111;26.08.2019;238;P1;leptodora;;-26,62509011;6,00821843;30529771,20;18345933,00;2238939,00;2740194,00;3508785,00;3208032,00;487888,20;20,5;11,8191;0,1273;0,003
112;26.08.2019;238;P1;calanoida;;-30,91418079;4,076319257;30529771,20;18345933,00;2238939,00;2740194,00;3508785,00;3208032,00;487888,20;20,5;11,8191;0,1273;0,003
113;26.08.2019;238;T2;calanoida;13,53;-24,03283262;4,66;29483819,10;18726886,80;1570599,00;2940696,00;3040947,00;2807028,00;397662,30;23,1;0,1099;0,0681;0,0011
114;26.08.2019;238;T2;cyclopoida;12,90842039;-23,51603955;4,899167609;29483819,10;18726886,80;1570599,00;2940696,00;3040947,00;2807028,00;397662,30;23,1;0,1099;0,0681;0,0011
115;09.09.2019;252;T1;calanoida;12,96;-32,82689218;4,73;18606585,60;8133697,80;133668,00;1436931,00;935676,00;2142029,70;5824583,10;20,2;0,4313;0,0068;0,1568
118;09.09.2019;252;W1;calanoida;11,02841081;-27,38694469;7,84439219;39899898,00;17617442,40;1871352,00;2305773,00;334170,00;1136178,00;16634982,60;17,6;3,3983;0,1204;0,4753
119;09.09.2019;252;T2;calanoida;14,35;-23,66677419;4,65;31452080,40;16397721,90;367587,00;1236429,00;2636601,30;2412707,40;8401033,80;20;0,1216;0,0448;0,019
120;09.09.2019;252;T1;daphnia;;-27,97168901;25,46381709;18606585,60;8133697,80;133668,00;1436931,00;935676,00;2142029,70;5824583,10;20,2;0,4313;0,0068;0,1568
123;09.09.2019;252;T1;cyclopoida;12,93102011;-31,93286726;5,209592637;18606585,60;8133697,80;133668,00;1436931,00;935676,00;2142029,70;5824583,10;20,2;0,4313;0,0068;0,1568
124;09.09.2019;252;P2;cyclopoida;13,86300415;-22,15009104;10,81548154;20731906,80;11301629,40;2205522,00;2472858,00;2005020,00;1570599,00;1176278,40;20,2;0,2367;0,00;0,005
